id;MEGNEVEZES;MERTEKEGYSEG;sorszam;MEGNEVEZES2;TARTOMANYLEIRAS;kapcsolat
20;Ismert-e koleszterin betegsége?;NULL;1;igen;NULL;
20;Ismert-e koleszterin betegsége?;NULL;2;nem ismert;NULL;
21;Ismert-e magasvérnyomás betegsége?;NULL;0;nem;NULL;
21;Ismert-e magasvérnyomás betegsége?;NULL;1;igen;;
21;Ismert-e magasvérnyomás betegsége?;NULL;2;nem ismert;NULL;
22;Volt-e családjában idoskor előtti szív-, koszorúér betegség?;NULL;0;nem;NULL;
22;Volt-e családjában idoskor előtti szív-, koszorúér betegség?;NULL;1;igen;NULL;
22;Volt-e családjában idoskor előtti szív-, koszorúér betegség?;NULL;2;nem ismert;NULL;
23;Volt-e infarktusa?;NULL;0;nem;NULL;
23;Volt-e infarktusa?;NULL;1;igen;;
23;Volt-e infarktusa?;NULL;2;nem ismert;NULL;
24;EURO-Score kockázati százalék;%;-1;nem számítható;;
24;EURO-Score kockázati százalék;%;1;kockázati %;;
25;Framingham-score kock. Százalék;%;-1;nem számítható;;
25;Framingham-score kock. Százalék;%;1;kockázati %;;
26;Van-e szívbetegsége?;NULL;0;nem;NULL;
26;Van-e szívbetegsége?;NULL;1;igen;NULL;
26;Van-e szívbetegsége?;NULL;2;nem ismert;NULL;
27;Van-e szénhidrátanyagcsere-zavara [IFG vagy IGT]?;NULL;0;nem;NULL;
27;Van-e szénhidrátanyagcsere-zavara [IFG vagy IGT]?;NULL;1;igen;NULL;
27;Van-e szénhidrátanyagcsere-zavara [IFG vagy IGT]?;NULL;2;nem ismert;NULL;
28;BMI (testömeg index);Kg/m2;0;Nem számítható;;
28;BMI (testömeg index);Kg/m2;1;BMI;;
29;Számított LDL koleszterin;mmol/l;0;nem kiértékelhető;;
29;Számított LDL koleszterin;mmol/l;1;Számított LDL szint;;
30;LDL szint;mmol/l;-1;nincs használható LDL érték;;
30;LDL szint;mmol/l;0;LDL szint;;
31;Vércukor mérés típusa?;NULL;0;éhgyomri;NULL;
31;Vércukor mérés típusa?;NULL;1;étkezés utáni;NULL;
31;Vércukor mérés típusa?;NULL;2;nem ismert;NULL;
32;Van-e krónikus vese betegsége?;NULL;0;nem;NULL;
32;Van-e krónikus vese betegsége?;NULL;1;igen;NULL;
32;Van-e krónikus vese betegsége?;NULL;2;nem ismert;NULL;
33;Kezelik magas koleszterinszint miatt?;NULL;0;nem;NULL;
33;Kezelik magas koleszterinszint miatt?;NULL;1;igen;;
33;Kezelik magas koleszterinszint miatt?;NULL;2;nem ismert;NULL;
34;Adatfelvitel kezdete;NULL;NULL;NULL;NULL;
35;Adatfelvitel vége;NULL;NULL;NULL;NULL;
36;Adatfelvitel idotartama;mp;NULL;NULL;NULL;
38;tervezett cél összkoleszterin érték;mmol/l;0;ismeretlen;NULL;
39;tervezett cél HDL;mmol/l;0;ismeretlen;NULL;
40;tervezett cél systolés vérnyomás;Hgmm;0;ismeretlen;NULL;
41;tervezett cél haskorfogat;cm;0;ismeretlen;NULL;
41;tervezett cél haskorfogat;cm;1;NULL;NULL;
42;tervezett cél testtömeg;Kg;0;ismeretlen;NULL;
43;tervezett cél értékek elérésének életkora;Év;0;ismeretlen;NULL;
44;tervezett cél dohányzás?;NULL;2;ismeretlen;NULL;
45;Default HDL érték;mmol/l;NULL;NULL;NULL;
46;kock.becsléshez használt HDL érték;mmol/l;1;HDL érték;;
47;default Triglicerid érték;mmol/l;NULL;NULL;NULL;
48;kock.becsléshez használt Triglicerid érték;mmol/l;1;Triglicerid beírt érték;;
48;kock.becsléshez használt Triglicerid érték;mmol/l;2;Triglicerid default érték;;
49;Van-e koronária betegsége?;NULL;0;Nem;NULL;
49;Van-e koronária betegsége?;NULL;1;Igen;NULL;
49;Van-e koronária betegsége?;NULL;2;Nem ismert;NULL;
50;Van megállapított metabolikus szindrómája?;NULL;0;Nem;NULL;
50;Van megállapított metabolikus szindrómája?;NULL;1;Igen;NULL;
50;Van megállapított metabolikus szindrómája?;NULL;2;Nem ismert;NULL;
51;Volt-e cerebrovasculáris érbetegsége?;NULL;0;Nem;NULL;
51;Volt-e cerebrovasculáris érbetegsége?;NULL;1;Igen;NULL;
51;Volt-e cerebrovasculáris érbetegsége?;NULL;2;Nem ismert;NULL;
52;Volt-e perifériás érbetegsége?;NULL;0;Nem;NULL;
52;Volt-e perifériás érbetegsége?;NULL;1;Igen;NULL;
52;Volt-e perifériás érbetegsége?;NULL;2;Nem ismert;NULL;
53;Albumin szint - 24 órás fehérjeürítés mennyisége;mg/24 óra;0;ismeretlen;NULL;
54;Albuminuria szint besorolás;NULL;0;nem besorolható;<=0;
54;Albuminuria szint besorolás;NULL;1;normál albuminuria szint;<30;
54;Albuminuria szint besorolás;NULL;2;mikroalbuminuria szint;30 - 300;
54;Albuminuria szint besorolás;NULL;3;makroalbuminuria szint;300<;
55;Serum Kreatinin szint;umol/l;0;ismeretlen;NULL;
56;Becsült (eGFR);ml/perc/1,73 m2;0;ismeretlen;NULL;
57;eGFR besorolása;NULL;0;Nem besorolható;NULL;
57;eGFR besorolása;NULL;1;Normál;90<;
57;eGFR besorolása;NULL;2;Enyhe csökkenés;60-90;
57;eGFR besorolása;NULL;3;mérsékelt csökkenés;30-60;
57;eGFR besorolása;NULL;4;súlyos csökkenés;15-30;
57;eGFR besorolása;NULL;5;veseelégtelenség;<15;
58;Van képalkotó vagy más eljárással igazolt ateroszklerózis, plakk a szervezetben?;NULL;0;Nincs;NULL;
58;Van képalkotó vagy más eljárással igazolt ateroszklerózis, plakk a szervezetben?;NULL;1;Van;NULL;
58;Van képalkotó vagy más eljárással igazolt ateroszklerózis, plakk a szervezetben?;NULL;2;Nem ismert;NULL;
59;Boka-kar index érték;NULL;0;ismeretlen;NULL;
60;Boka-kar index érték besorolás;NULL;0;Nem besorolható;<=0;
60;Boka-kar index érték besorolás;NULL;1;normál érték;0.9<;
60;Boka-kar index érték besorolás;NULL;2;csökkent érték;<=0.9;
61;Volt-e balkamra hipertrófia?;NULL;0;Nem;NULL;
61;Volt-e balkamra hipertrófia?;NULL;1;Igen;NULL;
61;Volt-e balkamra hipertrófia?;NULL;2;Nem ismert;NULL;
62;Húgysav szint (vérbol);umol/l;0;ismeretlen;NULL;
63;Húgysavszint besorolás (-220-420- / -140-340-);NULL;0;Nem besorolható;NULL;
63;Húgysavszint besorolás (-220-420- / -140-340-);NULL;1;csökkent;NULL;
63;Húgysavszint besorolás (-220-420- / -140-340-);NULL;2;normál;NULL;
63;Húgysavszint besorolás (-220-420- / -140-340-);NULL;3;emelkedett;NULL;
64;Ismert-e alvási apnoé problémája?;NULL;0;Nem;NULL;
64;Ismert-e alvási apnoé problémája?;NULL;1;Igen;NULL;
64;Ismert-e alvási apnoé problémája?;NULL;2;Nem ismert;NULL;
65;Van diagnosztizált inzulinrezisztencia (CLAMP, HOMA)?;NULL;0;Nem;NULL;
65;Van diagnosztizált inzulinrezisztencia (CLAMP, HOMA)?;NULL;1;Igen;NULL;
65;Van diagnosztizált inzulinrezisztencia (CLAMP, HOMA)?;NULL;2;Nem ismert;NULL;
66;Nagy szenzitivitású C reaktiv protein szint (gyulladás, hsCRP);mg/l;0;ismeretlen;NULL;
67;hsCRP szint besorolás;NULL;0;Nem besorolható;NULL;
67;hsCRP szint besorolás;NULL;1;normál érték;NULL;
67;hsCRP szint besorolás;NULL;2;emelkedett érték;NULL;
68;Megállapítható-e protombotikus állapot (fibrinogén, PAI, Homocisztein)?;NULL;0;Nem;NULL;
68;Megállapítható-e protombotikus állapot (fibrinogén, PAI, Homocisztein)?;NULL;1;Igen;NULL;
68;Megállapítható-e protombotikus állapot (fibrinogén, PAI, Homocisztein)?;NULL;2;Nem ismert;NULL;
69;Apolipoprotein B (APOB) szint;g/l;0;ismeretlen;NULL;
70;APOB szint besorolás;NULL;0;Nem besorolható;NULL;
70;APOB szint besorolás;NULL;1;normál;NULL;
70;APOB szint besorolás;NULL;2;emelkedett;NULL;
71;LP(A) szint;NULL;NULL;NULL;NULL;
72;LP(A) szint besorolás;NULL;0;Nem besorolható;NULL;
72;LP(A) szint besorolás;NULL;1;normál érték;NULL;
72;LP(A) szint besorolás;NULL;2;emelkedett érték;NULL;
73;APOAI szint;NULL;NULL;NULL;NULL;
74;APOAI szint besorolás;NULL;0;Nem besorolható;NULL;
74;APOAI szint besorolás;NULL;1;normál érték;NULL;
74;APOAI szint besorolás;NULL;2;emelkedett érték;NULL;
75;Nagy kockázat 1-es csoport?;NULL;-1;Nem értelmezhető;NULL;
75;Nagy kockázat 1-es csoport?;NULL;0;Nem;NULL;
75;Nagy kockázat 1-es csoport?;NULL;1;Igen;NULL;
76;Nagy kockázat 2-es csoport?;NULL;-1;Nem értelmezhető;NULL;
76;Nagy kockázat 2-es csoport?;NULL;0;Nem;NULL;
76;Nagy kockázat 2-es csoport?;NULL;1;Igen;NULL;
77;Nagy kockázat 3-as csoport?;NULL;-1;Nem értelmezhető;NULL;
77;Nagy kockázat 3-as csoport?;NULL;0;Nem;NULL;
77;Nagy kockázat 3-as csoport?;NULL;1;Igen;NULL;
78;Súlyos kockázati tényezok száma;NULL;0;darabszám;NULL;
79;Teljes vagy globális kard.met. kockázati tényezok szerint nagy kock;NULL;0;nem;NULL;
79;Teljes vagy globális kard.met. kockázati tényezok szerint nagy kock;NULL;1;igen;NULL;
79;Teljes vagy globális kard.met. kockázati tényezok szerint nagy kock;NULL;2;nem meghatározható;NULL;
80;Nagykockázatú E csoport;NULL;-1;Nem kiértékelhető;NULL;
80;Nagykockázatú E csoport;NULL;0;Nem;NULL;
80;Nagykockázatú E csoport;NULL;1;Igen;NULL;
81;Globális kockázati tényezok száma;NULL;0;darabszám;NULL;
82;"""""Reziduális"" kockázati tényezok száma""";NULL;-1;Nem kiértékelhető;NULL;
82;"""""Reziduális"" kockázati tényezok száma""";NULL;0;darabszám;NULL;
83;Metabolikus szindróma kockázatainak száma;NULL;0;darabszám;NULL;
83;Metabolikus szindróma kockázatainak száma;NULL;99;Nem számolható;NULL;
84;Diabétesz kockázathoz korcsoport besorolás (-45-55-65-);NULL;-1;nem számolható;;
84;Diabétesz kockázathoz korcsoport besorolás (-45-55-65-);NULL;0;45 alatt;<45;
84;Diabétesz kockázathoz korcsoport besorolás (-45-55-65-);NULL;2;45-54;45-54;
84;Diabétesz kockázathoz korcsoport besorolás (-45-55-65-);NULL;3;55-64;55-64;
84;Diabétesz kockázathoz korcsoport besorolás (-45-55-65-);NULL;4;65 felett;65-;
85;Diabétesz kockázathoz BMI besorolás;NULL;-1;nem számolható;;
85;Diabétesz kockázathoz BMI besorolás;NULL;0;25 alatt;<25;
85;Diabétesz kockázathoz BMI besorolás;NULL;1;25-30;25-30;
85;Diabétesz kockázathoz BMI besorolás;NULL;3;30 felett;30-;
86;Diabétesz kockázathoz haskörfogat besorols;NULL;-1;nem besorolható;NULL;
86;Diabétesz kockázathoz haskörfogat besorols;NULL;0;"ffi:<94 cm; nő<80cm";"<94;<80";
86;Diabétesz kockázathoz haskörfogat besorols;NULL;3;"ffi 94-102; nő:80-88";"94-102; 80-88";
86;Diabétesz kockázathoz haskörfogat besorols;NULL;4;"ffi:102-; nő 88-";"102-; 88-";
87;Rendszeresen van-e napi 30 perc fizikai aktivitás?;NULL;0;nem;NULL;
87;Rendszeresen van-e napi 30 perc fizikai aktivitás?;NULL;1;igen;;
87;Rendszeresen van-e napi 30 perc fizikai aktivitás?;NULL;2;nem ismert;NULL;
88;Fizikai aktivitás kockázati pontja;NULL;-1;nem számolható;NULL;
88;Fizikai aktivitás kockázati pontja;NULL;0;0 pont;NULL;
88;Fizikai aktivitás kockázati pontja;NULL;2;2 pont;NULL;
89;Minden nap eszik zöldséget vagy gyümölcsöt?;NULL;-1;nem ismert;NULL;
89;Minden nap eszik zöldséget vagy gyümölcsöt?;NULL;0;nem;NULL;
89;Minden nap eszik zöldséget vagy gyümölcsöt?;NULL;1;igen;;
90;Zöldség/gyümölcs fogyasztás kockázati pontja;NULL;1;0 pont;NULL;
90;Zöldség/gyümölcs fogyasztás kockázati pontja;NULL;2;1 pont;NULL;
91;Szedett valaha gyógyszert magas vérnyomás csökkentésre?;NULL;0;nem;NULL;
91;Szedett valaha gyógyszert magas vérnyomás csökkentésre?;NULL;1;igen;;
91;Szedett valaha gyógyszert magas vérnyomás csökkentésre?;NULL;2;nem ismert;NULL;
92;Magasvérnyomás csökkentésre szedett gyógyszer kockázati pontja;NULL;-1;nem számolható;NULL;
92;Magasvérnyomás csökkentésre szedett gyógyszer kockázati pontja;NULL;1;0 pont;NULL;
92;Magasvérnyomás csökkentésre szedett gyógyszer kockázati pontja;NULL;2;2 pont;NULL;
93;Mértek-e Önnek valaha normálisnál emelkedettebb vércukor szintet?;NULL;0;nem;NULL;
93;Mértek-e Önnek valaha normálisnál emelkedettebb vércukor szintet?;NULL;1;igen;;
93;Mértek-e Önnek valaha normálisnál emelkedettebb vércukor szintet?;NULL;2;nem ismert;NULL;
94;Emelkedett vércukorszint miatti kockázati pontszám;NULL;-1;nem számolható;NULL;
94;Emelkedett vércukorszint miatti kockázati pontszám;NULL;0;0 pont;NULL;
94;Emelkedett vércukorszint miatti kockázati pontszám;NULL;5;5 pont;NULL;
95;Közeli rokonságban diagnosztizáltak-e 1-es vagy 2-es típusú diabétesz betegséget?;NULL;-1;Nem ismert;NULL;
95;Közeli rokonságban diagnosztizáltak-e 1-es vagy 2-es típusú diabétesz betegséget?;NULL;0;Nem;NULL;
95;Közeli rokonságban diagnosztizáltak-e 1-es vagy 2-es típusú diabétesz betegséget?;NULL;1;Nagyszülők, nagybácsi/nagynéni;NULL;
95;Közeli rokonságban diagnosztizáltak-e 1-es vagy 2-es típusú diabétesz betegséget?;NULL;2;Szülők, testvér;NULL;
96;Cukorbetegség családi érintettség kockázati pontszáma;NULL;-1;nem számolható;NULL;
96;Cukorbetegség családi érintettség kockázati pontszáma;NULL;0;0 pont;NULL;
96;Cukorbetegség családi érintettség kockázati pontszáma;NULL;3;3 pont;NULL;
96;Cukorbetegség családi érintettség kockázati pontszáma;NULL;5;5 pont;NULL;
97;Cukorbetegség kockázat összpontszáma (FindRisc);NULL;-1;nem számolható;NULL;
97;Cukorbetegség kockázat összpontszáma (FindRisc);NULL;1;FR összpontszám;NULL;
98;Cukorbetegség kockázati százaléka (FindRisk);NULL;0;nem számolható;NULL;
98;Cukorbetegség kockázati százaléka (FindRisk);NULL;1;1%;-6;
98;Cukorbetegség kockázati százaléka (FindRisk);NULL;2;4%;7-11;
98;Cukorbetegség kockázati százaléka (FindRisk);NULL;3;17%;12-14;
98;Cukorbetegség kockázati százaléka (FindRisk);NULL;4;20%;15-20;
98;Cukorbetegség kockázati százaléka (FindRisk);NULL;5;50%;21-;
99;Nagy kardiovaszkuláris kockázati csoportba tartozik?;NULL;-1;Nem meghatározható;NULL;
99;Nagy kardiovaszkuláris kockázati csoportba tartozik?;NULL;0;Nem;NULL;
99;Nagy kardiovaszkuláris kockázati csoportba tartozik?;NULL;1;Igen;NULL;
100;Regisztrációs kód sorszám:;NULL;0;ismeretlen;NULL;
101;Lakhely megye azonosító kód;NULL;-1;ismeretlen megye;NULL;
101;Lakhely megye azonosító kód;NULL;0;=c_Counties(m101).name;NULL;
102;Lakhely irányítószáma;NULL;0;ismeretlen irányítószám;;
103;Albumin szint (idore gyűjtött, éjszakai);µg/min;0;ismeretlen;NULL;
104;Ha igen, szeretné, hogy segítséggel egy hónapon belül letegye a cigit?;NULL;0;nem;NULL;
104;Ha igen, szeretné, hogy segítséggel egy hónapon belül letegye a cigit?;NULL;1;igen;;
104;Ha igen, szeretné, hogy segítséggel egy hónapon belül letegye a cigit?;NULL;2;nem ismert;;
105;Napi életritmusában van-e rendszeres mozgás, sport?;NULL;0;nem;NULL;
105;Napi életritmusában van-e rendszeres mozgás, sport?;NULL;1;igen;NULL;
105;Napi életritmusában van-e rendszeres mozgás, sport?;NULL;2;nem ismert;NULL;
106;Van valamilyen krónikus megbetegedése?;NULL;0;nem;NULL;
106;Van valamilyen krónikus megbetegedése?;NULL;1;igen;NULL;
106;Van valamilyen krónikus megbetegedése?;NULL;2;nem ismert;NULL;
107;Étkezés a cukorszin mérés előtt 2 órán belül?;NULL;0;Nem;NULL;
107;Étkezés a cukorszin mérés előtt 2 órán belül?;NULL;1;Igen;NULL;
107;Étkezés a cukorszin mérés előtt 2 órán belül?;NULL;2;Nem ismert;NULL;
108;albumin-creatinin hányados;µg/mg;NULL;NULL;NULL;
109;Családjában fordult elő szívinfarktus?;NULL;0;nem;NULL;
109;Családjában fordult elő szívinfarktus?;NULL;1;igen;NULL;
109;Családjában fordult elő szívinfarktus?;NULL;2;nem ismert;NULL;
110;Családjában forult elő magasvérnyomásos megbetegedés?;NULL;0;nem;NULL;
110;Családjában forult elő magasvérnyomásos megbetegedés?;NULL;1;igen;NULL;
110;Családjában forult elő magasvérnyomásos megbetegedés?;NULL;2;nem ismert;NULL;
111;Családjában ford elő stroke?;NULL;0;nem;NULL;
111;Családjában ford elő stroke?;NULL;1;igen;NULL;
111;Családjában ford elő stroke?;NULL;2;nem ismert;NULL;
112;Családjában fordult elő daganatos megbetegedés?;NULL;0;nem;NULL;
112;Családjában fordult elő daganatos megbetegedés?;NULL;1;igen;NULL;
112;Családjában fordult elő daganatos megbetegedés?;NULL;2;nem ismert;NULL;
113;Családjában fordult elő anyagcsere megbetegedés?;NULL;0;nem;NULL;
113;Családjában fordult elő anyagcsere megbetegedés?;NULL;1;igen;NULL;
113;Családjában fordult elő anyagcsere megbetegedés?;NULL;2;nem ismert;NULL;
114;Milyen rendszeresen vesz részt háziorvosánál szűrő vizsgálaton?;NULL;0;Évente;NULL;
114;Milyen rendszeresen vesz részt háziorvosánál szűrő vizsgálaton?;NULL;1;5 évente;NULL;
114;Milyen rendszeresen vesz részt háziorvosánál szűrő vizsgálaton?;NULL;2;Nem volt;NULL;
114;Milyen rendszeresen vesz részt háziorvosánál szűrő vizsgálaton?;NULL;3;nincs válasz;NULL;
115;Milyen rendszeresen vesz részt szakorvosnál szűrő vizsgálaton?;NULL;0;Évente;NULL;
115;Milyen rendszeresen vesz részt szakorvosnál szűrő vizsgálaton?;NULL;1;5 évente;NULL;
115;Milyen rendszeresen vesz részt szakorvosnál szűrő vizsgálaton?;NULL;2;Nem volt;NULL;
115;Milyen rendszeresen vesz részt szakorvosnál szűrő vizsgálaton?;NULL;3;nincs válasz;NULL;
116;Milyen rendszeresen vesz részt laborban szűrő vizsgálaton?;NULL;0;Évente;NULL;
116;Milyen rendszeresen vesz részt laborban szűrő vizsgálaton?;NULL;1;5 évente;NULL;
116;Milyen rendszeresen vesz részt laborban szűrő vizsgálaton?;NULL;2;Nem volt;NULL;
116;Milyen rendszeresen vesz részt laborban szűrő vizsgálaton?;NULL;3;nincs válasz;NULL;
117;Milyen rendszeresen vesz részt átfogó szűrő vizsgálaton?;NULL;0;Évente;NULL;
117;Milyen rendszeresen vesz részt átfogó szűrő vizsgálaton?;NULL;1;5 évente;NULL;
117;Milyen rendszeresen vesz részt átfogó szűrő vizsgálaton?;NULL;2;Nem volt;NULL;
117;Milyen rendszeresen vesz részt átfogó szűrő vizsgálaton?;NULL;3;Nincs válasz;NULL;
118;Szív érrenddszeri vizsgálat (MAESZ);NULL;0;ism;NULL;
119;Szív érrenddszeri vizsgálat kiértékelése (MÁESZP);NULL;0;eltérő érték;NULL;
119;Szív érrenddszeri vizsgálat kiértékelése (MÁESZP);NULL;1;megfelelő érték;NULL;
119;Szív érrenddszeri vizsgálat kiértékelése (MÁESZP);NULL;2;ismeretlen;NULL;
120;Vérnyomás érték kiértékelése (MÁESzP);NULL;0;eltérő érték;NULL;
120;Vérnyomás érték kiértékelése (MÁESzP);NULL;1;megfelelő érték;NULL;
120;Vérnyomás érték kiértékelése (MÁESzP);NULL;2;ismeretlen;NULL;
121;Vércukorszint érték kiértékelése (MÁESzP);NULL;0;eltérő érték;NULL;
121;Vércukorszint érték kiértékelése (MÁESzP);NULL;1;megfelelő érték;NULL;
121;Vércukorszint érték kiértékelése (MÁESzP);NULL;2;ismeretlen;NULL;
122;Koleszterinszint érték kiértékelése (MÁESzP);NULL;0;eltérő érték;NULL;
122;Koleszterinszint érték kiértékelése (MÁESzP);NULL;1;megfelelő érték;NULL;
122;Koleszterinszint érték kiértékelése (MÁESzP);NULL;2;ismeretlen;NULL;
124;Húgysav szint érték kiértékelése (MÁESzP);NULL;0;eltérő érték;NULL;
124;Húgysav szint érték kiértékelése (MÁESzP);NULL;1;megfelelő érték;NULL;
124;Húgysav szint érték kiértékelése (MÁESzP);NULL;2;ismeretlen;NULL;
125;Inkontinencia kérdőív összpontszám (MÁESzP);NULL;-1;ismeretlen;NULL;
126;Inkontinencia kérdőív kiértékelése (MÁESzP);NULL;0;eltérő érték;NULL;
126;Inkontinencia kérdőív kiértékelése (MÁESzP);NULL;1;megfelelő érték;NULL;
126;Inkontinencia kérdőív kiértékelése (MÁESzP);NULL;2;ismeretlen;NULL;
127;SDS pajzsmirigy vizsgálat (MÁESzP);NULL;-1;ismeretlen;;
128;SDS pajzsmirigy vizsgálat kiértékelése (MÁESzP);NULL;0;eltérő érték;NULL;
128;SDS pajzsmirigy vizsgálat kiértékelése (MÁESzP);NULL;1;megfelelő érték;NULL;
128;SDS pajzsmirigy vizsgálat kiértékelése (MÁESzP);NULL;2;ismeretlen;NULL;
129;SDS allergia vizsgálat (MÁESzP);NULL;-1;ismeretlen;;
130;SDS allergia vizsgálat kiértékelése (MÁESzP);NULL;0;eltérő érték;NULL;
130;SDS allergia vizsgálat kiértékelése (MÁESzP);NULL;1;megfelelő érték;NULL;
130;SDS allergia vizsgálat kiértékelése (MÁESzP);NULL;2;ismeretlen;NULL;
131;SDS Arcüreg vizsgálat (MÁESzP);NULL;-1;ismeretlen;;
132;SDS arcüreg vizsgálat kiértékelése (MÁESzP);NULL;0;eltérő érték;NULL;
132;SDS arcüreg vizsgálat kiértékelése (MÁESzP);NULL;1;megfelelő érték;NULL;
132;SDS arcüreg vizsgálat kiértékelése (MÁESzP);NULL;2;ismeretlen;NULL;
133;SDS Fogászati gócpont vizsgálat (MÁESzP);NULL;-1;ismeretlen;;
134;SDS Fogászati gócpont viszgálat kiértékelése (MÁESzP);NULL;0;eltérő érték;NULL;
134;SDS Fogászati gócpont viszgálat kiértékelése (MÁESzP);NULL;1;megfelelő érték;NULL;
134;SDS Fogászati gócpont viszgálat kiértékelése (MÁESzP);NULL;2;ismeretlen;NULL;
135;Spirometriea PEF;l/sec;-1;ismeretlen;;
136;FEV1;l;-1;ismeretlen;;
137;FVC;l;-1;ismeretlen;;
138;FEF25-75;%;-1;ismeretlen;;
139;Spirometria kiértékelés (MÁESzP);NULL;0;eltérő érték;NULL;
139;Spirometria kiértékelés (MÁESzP);NULL;1;megfelelő érték;NULL;
139;Spirometria kiértékelés (MÁESzP);NULL;2;ismeretlen;NULL;
140;COPD kérdőíves teszt összpontszám (MÁESzP);NULL;-1;ismeretlen;;
141;COPD kérdőíves teszt kiértékelése (MÁESzP);NULL;0;eltérő érték;NULL;
141;COPD kérdőíves teszt kiértékelése (MÁESzP);NULL;1;megfelelő érték;NULL;
141;COPD kérdőíves teszt kiértékelése (MÁESzP);NULL;2;ismeretlen;NULL;
142;Szénmonoxid mérés eredménye;ppm;-1;ismeretlen;;
143;Szénmonoxid mérés kiértékelése (MÁESzP);NULL;0;eltérő érték;NULL;
143;Szénmonoxid mérés kiértékelése (MÁESzP);NULL;1;megfelelő érték;NULL;
143;Szénmonoxid mérés kiértékelése (MÁESzP);NULL;2;ismeretlen;NULL;
144;Pulsoximetria;%;-1;ismeretlen;;
145;Pulsoximetria kiértékelése (MÁESzP);NULL;0;eltérő érték;NULL;
145;Pulsoximetria kiértékelése (MÁESzP);NULL;1;megfelelő érték;NULL;
145;Pulsoximetria kiértékelése (MÁESzP);NULL;2;ismeretlen;NULL;
146;Magasságmérés kiértékelése (MÁESzP);NULL;0;eltérő érték;NULL;
146;Magasságmérés kiértékelése (MÁESzP);NULL;1;megfelelő érték;NULL;
146;Magasságmérés kiértékelése (MÁESzP);NULL;2;ismeretlen;NULL;
147;Haskörfogat kiértékelése (MÁESzP);NULL;0;eltérő érték;NULL;
147;Haskörfogat kiértékelése (MÁESzP);NULL;1;megfelelő érték;NULL;
147;Haskörfogat kiértékelése (MÁESzP);NULL;2;ismeretlen;NULL;
148;csípőkörfogat;cm;0;ismeretlen;;
149;csípőkörfogat kiértékelése (MÁESzP);NULL;0;eltérő érték;NULL;
149;csípőkörfogat kiértékelése (MÁESzP);NULL;1;megfelelő érték;NULL;
149;csípőkörfogat kiértékelése (MÁESzP);NULL;2;ismeretlen;NULL;
150;Elérendő célsúly (MÁESzP);Kg;0;ismeretlen;;
151;Elérendő célsúly kiértékelése (MÁESzP);NULL;0;eltérő érték;NULL;
151;Elérendő célsúly kiértékelése (MÁESzP);NULL;1;megfelelő érték;NULL;
151;Elérendő célsúly kiértékelése (MÁESzP);NULL;2;ismeretlen;NULL;
152;Testzsír tömeg mérés;Kg;0;ismeretlen;;
153;Testzsírtömeg mérés kiértékelése (MÁESzP);NULL;0;eltérő érték;NULL;
153;Testzsírtömeg mérés kiértékelése (MÁESzP);NULL;1;megfelelő érték;NULL;
153;Testzsírtömeg mérés kiértékelése (MÁESzP);NULL;2;ismeretlen;NULL;
154;Vázizom tömegmérés;Kg;0;ismeretlen;;
